Name,Value
Schedule,Mouse PAL Habituation 2 v2
Environment,Chamber1 [1]
Date/Time,28/01/2018 11:12:28
Database,Fmr1_PAL_2018
SessionId,9
Index,6
Version,N/A
MachineName,CI24689-2
SGuid,
Animal ID,341-blue
Application_Version,ABET II Touch 2.20.6316.18149
Max_Number_Trials,0
Max_Schedule_Time,1200
Schedule_Start_Time,2018-01-28T11:12:36.827

----------
Evnt_Time,Evnt_ID,Evnt_Name,Item_Name,Alias_Name,Group_ID,Num_Args,Arg1_Name,Arg1_Value,Arg2_Name,Arg2_Value,Arg3_Name,Arg3_Value,Arg4_Name,Arg4_Value,Arg5_Name,Arg5_Value
15.255,1,Condition Event,Wait for tray exit,,5,0,,,,,,,,,,
15.255,29,Timer Event,Delay_Timer,,5,1,Value,0,,,,,,,,
15.255,16,Variable Event,Delay_Time,,5,1,Value,1,,,,,,,,
15.255,61,Group Maintain Event,Group Change,,5,1,New Group,5,,,,,,,,
16.255,1,Condition Event,Wait for tray exit,,5,0,,,,,,,,,,
16.255,29,Timer Event,Delay_Timer,,5,1,Value,0,,,,,,,,
16.255,16,Variable Event,Delay_Time,,5,1,Value,1,,,,,,,,
16.255,61,Group Maintain Event,Group Change,,5,1,New Group,5,,,,,,,,
16.726,39,Input Transition Off Event,Tray #1,,5,0,,,,,,,,,,
17.255,1,Condition Event,Feed again,,5,0,,,,,,,,,,
17.255,7,Pulse Output Event,Feeder #1,,5,1,Duration,0.28,,,,,,,,
17.255,3,Output On Event,TrayLight #1,,5,0,,,,,,,,,,
17.255,1,Condition Event,Pulse Tone if required 2,,5,0,,,,,,,,,,
17.255,7,Pulse Output Event,Sound_On #1,,5,1,Duration,1,,,,,,,,
17.255,21,Group Change Event,Group Change,,5,1,New Group,3,,,,,,,,
17.444,39,Input Transition Off Event,BIRBeam #1,,3,0,,,,,,,,,,
22.135,38,Input Transition On Event,BIRBeam #1,,3,0,,,,,,,,,,
22.554,39,Input Transition Off Event,BIRBeam #1,,3,0,,,,,,,,,,
23.847,38,Input Transition On Event,FIRBeam #1,,3,0,,,,,,,,,,
25.74,39,Input Transition Off Event,FIRBeam #1,,3,0,,,,,,,,,,
26.668,30,Touch Down Event,Bussey Mouse Operant Mode 3 x 1 x low,,3,4,Position,3,Image 1,0,CoordX,162,CoordY,77,,
26.844,31,Touch Up Event,Bussey Mouse Operant Mode 3 x 1 x low,,3,4,Position,3,Image 1,0,CoordX,162,CoordY,77,,
26.924,30,Touch Down Event,Bussey Mouse Operant Mode 3 x 1 x low,,3,4,Position,3,Image 1,0,CoordX,129,CoordY,77,,
27.042,31,Touch Up Event,Bussey Mouse Operant Mode 3 x 1 x low,,3,4,Position,3,Image 1,0,CoordX,129,CoordY,77,,
27.857,38,Input Transition On Event,FIRBeam #1,,3,0,,,,,,,,,,
27.932,39,Input Transition Off Event,FIRBeam #1,,3,0,,,,,,,,,,
31.361,38,Input Transition On Event,FIRBeam #1,,3,0,,,,,,,,,,
35.126,39,Input Transition Off Event,FIRBeam #1,,3,0,,,,,,,,,,
35.47,38,Input Transition On Event,BIRBeam #1,,3,0,,,,,,,,,,
35.927,39,Input Transition Off Event,BIRBeam #1,,3,0,,,,,,,,,,
38.145,38,Input Transition On Event,FIRBeam #1,,3,0,,,,,,,,,,
40.98,39,Input Transition Off Event,FIRBeam #1,,3,0,,,,,,,,,,
41.269,38,Input Transition On Event,BIRBeam #1,,3,0,,,,,,,,,,
42.247,39,Input Transition Off Event,BIRBeam #1,,3,0,,,,,,,,,,
43.497,38,Input Transition On Event,FIRBeam #1,,3,0,,,,,,,,,,
47.245,39,Input Transition Off Event,FIRBeam #1,,3,0,,,,,,,,,,
53.207,38,Input Transition On Event,FIRBeam #1,,3,0,,,,,,,,,,
53.414,39,Input Transition Off Event,FIRBeam #1,,3,0,,,,,,,,,,
61.752,38,Input Transition On Event,BIRBeam #1,,3,0,,,,,,,,,,
62.57,38,Input Transition On Event,Tray #1,,3,0,,,,,,,,,,
62.571,1,Condition Event,Note Tray Entry,,3,0,,,,,,,,,,
62.571,4,Output Off Event,TrayLight #1,,3,0,,,,,,,,,,
62.571,16,Variable Event,Delay_Time,,3,1,Value,10,,,,,,,,
62.571,21,Group Change Event,Group Change,,3,1,New Group,4,,,,,,,,
65.268,39,Input Transition Off Event,Tray #1,,4,0,,,,,,,,,,
65.268,1,Condition Event,Start Delay,,4,0,,,,,,,,,,
65.268,29,Timer Event,Delay_Timer,,4,1,Value,0,,,,,,,,
65.268,16,Variable Event,_Trial_Counter,,4,1,Value,2,,,,,,,,
65.268,21,Group Change Event,Group Change,,4,1,New Group,5,,,,,,,,
65.874,39,Input Transition Off Event,BIRBeam #1,,5,0,,,,,,,,,,
66.624,38,Input Transition On Event,BIRBeam #1,,5,0,,,,,,,,,,
67.925,39,Input Transition Off Event,BIRBeam #1,,5,0,,,,,,,,,,
68.209,38,Input Transition On Event,BIRBeam #1,,5,0,,,,,,,,,,
69.065,39,Input Transition Off Event,BIRBeam #1,,5,0,,,,,,,,,,
70.338,38,Input Transition On Event,FIRBeam #1,,5,0,,,,,,,,,,
71.493,39,Input Transition Off Event,FIRBeam #1,,5,0,,,,,,,,,,
71.978,38,Input Transition On Event,FIRBeam #1,,5,0,,,,,,,,,,
72.214,39,Input Transition Off Event,FIRBeam #1,,5,0,,,,,,,,,,
72.521,38,Input Transition On Event,FIRBeam #1,,5,0,,,,,,,,,,
72.937,39,Input Transition Off Event,FIRBeam #1,,5,0,,,,,,,,,,
73.463,38,Input Transition On Event,FIRBeam #1,,5,0,,,,,,,,,,
75.268,1,Condition Event,Feed again,,5,0,,,,,,,,,,
75.268,7,Pulse Output Event,Feeder #1,,5,1,Duration,0.28,,,,,,,,
75.268,3,Output On Event,TrayLight #1,,5,0,,,,,,,,,,
75.268,1,Condition Event,Pulse Tone if required 2,,5,0,,,,,,,,,,
75.268,7,Pulse Output Event,Sound_On #1,,5,1,Duration,1,,,,,,,,
75.268,21,Group Change Event,Group Change,,5,1,New Group,3,,,,,,,,
75.499,39,Input Transition Off Event,FIRBeam #1,,3,0,,,,,,,,,,
76.013,38,Input Transition On Event,FIRBeam #1,,3,0,,,,,,,,,,
79.741,39,Input Transition Off Event,FIRBeam #1,,3,0,,,,,,,,,,
79.979,38,Input Transition On Event,BIRBeam #1,,3,0,,,,,,,,,,
80.51,39,Input Transition Off Event,BIRBeam #1,,3,0,,,,,,,,,,
81.616,38,Input Transition On Event,BIRBeam #1,,3,0,,,,,,,,,,
82.509,39,Input Transition Off Event,BIRBeam #1,,3,0,,,,,,,,,,
83.271,38,Input Transition On Event,FIRBeam #1,,3,0,,,,,,,,,,
83.797,39,Input Transition Off Event,FIRBeam #1,,3,0,,,,,,,,,,
84.302,30,Touch Down Event,Bussey Mouse Operant Mode 3 x 1 x low,,3,4,Position,1,Image 1,0,CoordX,9,CoordY,39,,
84.322,31,Touch Up Event,Bussey Mouse Operant Mode 3 x 1 x low,,3,4,Position,1,Image 1,0,CoordX,9,CoordY,39,,
85.241,30,Touch Down Event,Bussey Mouse Operant Mode 3 x 1 x low,,3,4,Position,1,Image 1,0,CoordX,79,CoordY,58,,
86.073,31,Touch Up Event,Bussey Mouse Operant Mode 3 x 1 x low,,3,4,Position,1,Image 1,0,CoordX,134,CoordY,148,,
91.184,38,Input Transition On Event,FIRBeam #1,,3,0,,,,,,,,,,
93.542,39,Input Transition Off Event,FIRBeam #1,,3,0,,,,,,,,,,
94.249,38,Input Transition On Event,FIRBeam #1,,3,0,,,,,,,,,,
101.57,39,Input Transition Off Event,FIRBeam #1,,3,0,,,,,,,,,,
103.459,38,Input Transition On Event,BIRBeam #1,,3,0,,,,,,,,,,
104.416,39,Input Transition Off Event,BIRBeam #1,,3,0,,,,,,,,,,
105.987,38,Input Transition On Event,BIRBeam #1,,3,0,,,,,,,,,,
107.294,39,Input Transition Off Event,BIRBeam #1,,3,0,,,,,,,,,,
107.673,38,Input Transition On Event,FIRBeam #1,,3,0,,,,,,,,,,
108.156,39,Input Transition Off Event,FIRBeam #1,,3,0,,,,,,,,,,
108.213,38,Input Transition On Event,FIRBeam #1,,3,0,,,,,,,,,,
108.952,39,Input Transition Off Event,FIRBeam #1,,3,0,,,,,,,,,,
109.713,30,Touch Down Event,Bussey Mouse Operant Mode 3 x 1 x low,,3,4,Position,3,Image 1,0,CoordX,199,CoordY,49,,
110.405,31,Touch Up Event,Bussey Mouse Operant Mode 3 x 1 x low,,3,4,Position,3,Image 1,0,CoordX,129,CoordY,77,,
110.484,30,Touch Down Event,Bussey Mouse Operant Mode 3 x 1 x low,,3,4,Position,3,Image 1,0,CoordX,92,CoordY,148,,
110.619,31,Touch Up Event,Bussey Mouse Operant Mode 3 x 1 x low,,3,4,Position,3,Image 1,0,CoordX,92,CoordY,148,,
110.718,30,Touch Down Event,Bussey Mouse Operant Mode 3 x 1 x low,,3,4,Position,3,Image 1,0,CoordX,37,CoordY,148,,
111.832,31,Touch Up Event,Bussey Mouse Operant Mode 3 x 1 x low,,3,4,Position,3,Image 1,0,CoordX,37,CoordY,148,,
112.281,38,Input Transition On Event,FIRBeam #1,,3,0,,,,,,,,,,
112.956,39,Input Transition Off Event,FIRBeam #1,,3,0,,,,,,,,,,
117.727,38,Input Transition On Event,FIRBeam #1,,3,0,,,,,,,,,,
118.503,39,Input Transition Off Event,FIRBeam #1,,3,0,,,,,,,,,,
129.261,38,Input Transition On Event,BIRBeam #1,,3,0,,,,,,,,,,
130.17,38,Input Transition On Event,Tray #1,,3,0,,,,,,,,,,
130.171,1,Condition Event,Note Tray Entry,,3,0,,,,,,,,,,
130.171,4,Output Off Event,TrayLight #1,,3,0,,,,,,,,,,
130.171,16,Variable Event,Delay_Time,,3,1,Value,10,,,,,,,,
130.171,21,Group Change Event,Group Change,,3,1,New Group,4,,,,,,,,
134.81,39,Input Transition Off Event,Tray #1,,4,0,,,,,,,,,,
134.81,1,Condition Event,Start Delay,,4,0,,,,,,,,,,
134.81,29,Timer Event,Delay_Timer,,4,1,Value,0,,,,,,,,
134.81,16,Variable Event,_Trial_Counter,,4,1,Value,3,,,,,,,,
134.81,21,Group Change Event,Group Change,,4,1,New Group,5,,,,,,,,
135.287,39,Input Transition Off Event,BIRBeam #1,,5,0,,,,,,,,,,
137.671,38,Input Transition On Event,BIRBeam #1,,5,0,,,,,,,,,,
139.245,39,Input Transition Off Event,BIRBeam #1,,5,0,,,,,,,,,,
139.843,38,Input Transition On Event,FIRBeam #1,,5,0,,,,,,,,,,
144.81,1,Condition Event,Feed again,,5,0,,,,,,,,,,
144.81,7,Pulse Output Event,Feeder #1,,5,1,Duration,0.28,,,,,,,,
144.81,3,Output On Event,TrayLight #1,,5,0,,,,,,,,,,
144.81,1,Condition Event,Pulse Tone if required 2,,5,0,,,,,,,,,,
144.81,7,Pulse Output Event,Sound_On #1,,5,1,Duration,1,,,,,,,,
144.81,21,Group Change Event,Group Change,,5,1,New Group,3,,,,,,,,
148.978,39,Input Transition Off Event,FIRBeam #1,,3,0,,,,,,,,,,
150.182,38,Input Transition On Event,FIRBeam #1,,3,0,,,,,,,,,,
150.92,39,Input Transition Off Event,FIRBeam #1,,3,0,,,,,,,,,,
